AG023.9659-0.1087  1 278.84289  -8.02574  23.96378 -0.11084    0.83   0.2  0.31 0.31 -137    0.68 0.36 0.33 -59 N N
AG023.9659-0.1087  2 278.84179  -8.02415  23.96469 -0.10915    0.6   -0.0  0.49 0.31  157    0.77 0.36 0.33 -59 N N
AG023.9659-0.1087  3 278.84285  -8.02379  23.96549 -0.10991    2.32   0.54 0.39 0.39   36    3.02 0.36 0.33 -59 N N
AG023.9659-0.1087  4 278.84282  -8.02287  23.96629 -0.10946   10.15   4.27 0.53 0.37  -20   16.78 0.36 0.33 -59 N N
AG023.9659-0.1087  5 278.84249  -8.02261  23.96638 -0.10905    8.07   2.48 0.48 0.36   37   11.79 0.36 0.33 -59 N N
AG023.9659-0.1087  6 278.84302  -8.02243  23.96678 -0.10943    6.49   1.15 0.4  0.43   53    9.58 0.36 0.33 -59 N N
AG023.9659-0.1087  7 278.84322  -8.02226  23.96701 -0.10954    0.7    1.24 0.41 0.31  -10    0.76 0.36 0.33 -59 N N
AG023.9659-0.1087  8 278.84206  -8.02216  23.96657 -0.10847    0.65   0.27 0.57 0.33 -137    1.03 0.36 0.33 -59 N N
AG023.9659-0.1087  9 278.84474  -8.02154  23.96835 -0.11054    0.84   0.02 0.37 0.49  -41    1.3  0.36 0.33 -59 N N
AG023.9659-0.1087 10 278.84257  -8.02293  23.96612 -0.10927   15.89   4.77 0.49 0.4     1   26.78 0.36 0.33 -59 N N
AG023.9989+0.1567  1 278.62046  -7.87223  23.99861  0.15539    1.91   0.42 0.32 0.23   28    2.33 0.31 0.19 -61 N N
AG023.9989+0.1567  2 278.62006  -7.86984  24.00055  0.15684    1.61   0.18 0.32 0.2    29    1.75 0.31 0.19 -61 N N
AG023.9989+0.1567  3 278.61914  -7.87243  23.99782  0.15646    1.81  -0.04 0.43 0.28   41    3.68 0.31 0.19 -61 N N
AG023.9989+0.1567  4 278.61903  -7.87242  23.99778  0.15656    0.55  -0.04 0.51 0.29   44    1.37 0.31 0.19 -61 N N
AG024.0046+0.0397  1 278.72926  -7.92139  24.00461  0.03709    2.0    0.24 0.23 0.34  -59    2.35 0.32 0.21 -59 N N
AG024.0046+0.0397  2 278.72847  -7.91926  24.00614  0.03876    0.97   0.16 0.32 0.25   29    1.14 0.32 0.21 -59 N N
AG024.0046+0.0397  3 278.72743  -7.91905  24.00585  0.03978    2.55   0.15 0.35 0.23   33    3.08 0.32 0.21 -59 N N
AG024.0112+0.4899  1 278.32615  -7.70725  24.01058  0.4902     6.42   0.41 0.37 0.25   26    9.78 0.31 0.2  -59 N N
AG024.0112+0.4899  2 278.3271   -7.70712  24.01113  0.48943    3.44   0.39 0.34 0.29   29    5.56 0.31 0.2  -59 N N
AG024.0112+0.4899  3 278.32643  -7.7071   24.01085  0.49003    1.84   0.48 0.36 0.24   24    2.61 0.31 0.2  -59 N N
AG024.0112+0.4899  4 278.3265   -7.70674  24.0112   0.49013    0.5    0.14 0.33 0.19   28    0.5  0.31 0.2  -59 N N
AG024.0112+0.4899  5 278.32737  -7.70664  24.01168  0.48942    0.41   0.08 0.3  0.19   11    0.37 0.31 0.2  -59 N N
AG024.0147+0.0487  1 278.72361  -7.90902  24.01301  0.04775    0.75   0.45 0.4  0.29 -190    0.84 0.39 0.28 -57 N N
AG024.0147+0.0487  2 278.72381  -7.90881  24.01329  0.04767    6.32   1.17 0.4  0.31   39    7.51 0.39 0.28 -57 N N
AG024.0147+0.0487  3 278.72377  -7.90858  24.01347  0.04781    2.73   0.32 0.49 0.35   44    4.47 0.39 0.28 -57 N N
AG024.0147+0.0487  4 278.72336  -7.90829  24.01355  0.04831    0.52   0.39 0.26 0.41 -219    0.53 0.39 0.28 -57 N N
AG024.0147+0.0487  5 278.72528  -7.90667  24.01586  0.04737    1.84   0.18 0.39 0.33   31    2.21 0.39 0.28 -57 N N
AG024.0147+0.0487  6 278.72235  -7.9053   24.01574  0.05057    0.65   0.32 0.41 0.26  169    0.66 0.39 0.28 -57 N N
