Source_Name,Source_Seq,Source_RA,Source_Dec,Source_GLON,Source_GLAT,Source_Fpeak,Source_Fint,Primary_Target,Primary_Distance_arcsec,Num_Matching_Targets,All_Targets,Primary_FITS
AG023.5687+0.0144,3,278.54817,-8.31917,23.56896,0.01297,0.85,0.69,105028,4.750183619914689,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,4,278.54741,-8.31915,23.56863,0.01364,0.61,0.77,105028,2.164959656335555,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,5,278.54764,-8.319,23.56887,0.01351,1.54,2.74,105028,2.778123277546967,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,6,278.54779,-8.31881,23.56911,0.01347,0.9,1.12,105028,3.281960287922122,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,7,278.54684,-8.31881,23.56868,0.0143,1.41,1.49,105028,0.2502597865889598,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,8,278.5478,-8.31842,23.56946,0.01363,4.57,4.97,105028,3.6889763147172516,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,9,278.54761,-8.31873,23.5691,0.01366,0.87,1.03,105028,2.682553278096965,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,10,278.54771,-8.31866,23.56921,0.01361,8.57,9.89,105028,3.0855867896096534,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,11,278.54744,-8.31832,23.56939,0.014,13.64,19.71,105028,2.8401583987304893,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,12,278.54741,-8.31818,23.56949,0.01409,3.67,11.25,105028,3.146969309629012,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.6469+0.1951,1,278.42151,-8.1672,23.64604,0.19426,1.81,1.86,105388,3.875504890781406,1,105388,member.uid___A001_X1467_X1e7._105388__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.6469+0.1951,2,278.42113,-8.16686,23.64616,0.19475,1.92,2.14,105388,2.5687163465847447,1,105388,member.uid___A001_X1467_X1e7._105388__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,1,278.80257,-8.29562,23.70581,-0.19963,2.61,3.54,105642,8.75907421018882,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,2,278.80174,-8.29533,23.70569,-0.19876,0.53,0.48,105642,6.033618047358715,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,3,278.80156,-8.29518,23.70574,-0.19854,0.82,1.47,105642,5.231378767149519,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
